Date,Time,ControlMode,RobotStatus,RobotAutoControlStage,Battery1VoltsRaw,Battery1AmpsRaw,Battery2VoltsRaw,Battery2AmpsRaw,WaterLevel,TempatureRaw,CH6,CH7,LeftDriveSign,LeftDriveMag,LeftDriveEncoder,RightDriveSign,RightDriveMag,RightDriveEncoder,Battery1Volts,Battery1Amps,Battery2Volts,Battery2Amps,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,CollectionMotor1,CollectionMotor2
2018-07-22,18-58-46.403,Auto,Idle,None,3.67,2.62,0,0,0,0,NC,NC,0,0,0,0,0,0,13.75,0.24,0.14,1.56,0,0,0,0,0,0,1,1
2018-07-22,18-58-46.408,Auto,Idle,None,3.67,2.62,0.03,0.14,0.39,1.05,NC,NC,0,0,0,0,0,0,13.75,0.24,0.14,1.56,0,0,0,0,0,0,1,1
2018-07-22,18-58-46.418,Auto,Idle,None,3.67,2.61,0.03,0.14,0.35,1.05,NC,NC,0,0,0,0,0,0,13.75,0.22,0.14,1.56,0,0,0,0,0,0,1,1
2018-07-22,18-58-46.433,Auto,Idle,None,3.69,2.62,0.03,0.14,0.35,1.05,NC,NC,0,0,0,0,0,0,14.05,0.24,0.14,1.56,0,0,0,0,0,0,1,1
2018-07-22,18-58-46.482,Auto,Idle,None,3.67,2.62,0.03,0.14,0.36,1.05,NC,NC,0,0,0,0,0,0,13.75,0.24,0.14,1.56,243,174,-515,15,136,-515,1,1
2018-07-22,18-58-46.539,Auto,Idle,None,3.67,2.62,0.03,0.14,0.36,1.05,NC,NC,0,0,0,0,0,0,13.75,0.24,0.14,1.68,243,174,-515,15,136,-515,1,1
2018-07-22,18-58-46.548,Auto,Idle,None,3.67,2.61,0.03,0.14,0.33,1.05,NC,NC,0,0,0,0,0,0,13.75,0.22,0.14,1.56,243,138,-515,16,8,-515,1,1
2018-07-22,18-58-46.554,Auto,Idle,None,3.68,2.62,0.03,0.14,0.33,1.05,NC,NC,0,0,0,0,0,0,13.9,0.24,0.14,1.44,243,138,-515,16,8,-515,1,1
2018-07-22,18-58-46.558,Auto,Idle,None,3.68,2.62,0.03,0.14,0.33,1.05,NC,NC,0,0,0,0,0,0,13.9,0.24,0.14,1.56,243,138,-515,16,8,-515,1,1
2018-07-22,18-58-46.562,Auto,Idle,None,3.68,2.62,0.03,0.14,0.32,1.05,NC,NC,0,0,0,0,0,0,13.9,0.24,0.14,1.56,243,160,-515,16,16,-515,1,1
2018-07-22,18-58-46.602,Auto,Idle,None,3.66,2.61,0.03,0.14,0.33,1.05,NC,NC,0,0,0,0,0,0,13.6,0.22,0.14,1.68,243,150,-515,16,18,-515,1,1
2018-07-22,18-58-46.623,Auto,Idle,None,3.68,2.62,0.03,0.14,0.32,1.05,NC,NC,0,0,0,0,0,0,13.9,0.24,0.14,1.56,243,150,-515,16,18,-515,1,1
