Date,Time,ControlMode,RobotStatus,RobotAutoControlStage,Battery1VoltsRaw,Battery1AmpsRaw,Battery2VoltsRaw,Battery2AmpsRaw,WaterLevel,TempatureRaw,CH6,CH7,LeftDriveSign,LeftDriveMag,LeftDriveEncoder,RightDriveSign,RightDriveMag,RightDriveEncoder,Battery1Volts,Battery1Amps,Battery2Volts,Battery2Amps,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,CollectionMotor1,CollectionMotor2,VelocityX,VelocityY,VelocityZ,RotationX,RotationY,RotationZ
2018-07-23,17-42-11.816,None,Idle,None,0,0,0,0,0,0,NC,NC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
2018-07-23,17-42-11.831,Auto,Idle,None,0,0,0,0,0,0,NC,NC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
2018-07-23,17-42-11.849,Auto,Idle,TurnToMap,3.54,2.63,1.32,6.27,0.43,1.12,NC,NC,0,0,0,0,0,0,11.8,0.26,6.27,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
2018-07-23,17-42-11.864,Auto,Idle,TurnToMap,3.56,2.64,1.33,6.32,0.38,1.12,NC,NC,1,0.2,0,0,0,0,12.1,0.28,6.32,0.12,0,0,0,0,0,0,1,1,0,0,0,0,0,0
2018-07-23,17-42-11.878,Auto,Idle,TurnToMap,3.55,2.63,1.33,6.32,0.38,1.12,NC,NC,1,0.2,0,0,0,0,11.95,0.26,6.32,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
2018-07-23,17-42-11.893,Auto,Idle,TurnToMap,3.55,2.63,1.33,6.32,0.38,1.12,NC,NC,1,0.2,0,0,0,0,11.95,0.26,6.32,0,-0.1779785,-0.03381348,0.8634033,0,0,0,1,1,0,0,0,0,0,0
2018-07-23,17-42-11.909,Auto,Idle,TurnToMap,3.55,2.62,1.32,6.27,0.33,1.12,NC,NC,1,0.2,0,0,0,0,11.95,0.24,6.27,0,-0.18,-0.03,0.86,31.25,-0.73,-0.22,1,1,-0.18,-0.03,0.86,31.25,-0.73,-0.22
2018-07-23,17-42-11.960,Auto,Idle,TurnToMap,3.55,2.64,1.32,6.27,0.39,1.12,NC,NC,1,0.2,0,0,0,0,11.95,0.28,6.27,0,-0.18,-0.04,0.87,31.88,-0.55,-0.45,1,1,-0.36,-0.07,1.73,63.13,-1.28,-0.67
2018-07-23,17-42-11.972,Auto,Idle,TurnToMap,3.55,2.63,1.31,6.22,0.34,1.12,NC,NC,1,0.2,0,0,0,0,11.95,0.26,6.22,0,-0.18,-0.04,0.87,31.88,-0.55,-0.45,1,1,-0.36,-0.07,1.73,63.13,-1.28,-0.67
2018-07-23,17-42-11.988,Auto,Idle,TurnToMap,3.59,2.64,1.31,6.22,0.32,1.12,NC,NC,1,0.2,0,0,0,0,12.55,0.28,6.22,0,-0.18,-0.04,0.87,31.88,-0.55,-0.45,1,1,-0.36,-0.07,1.73,63.13,-1.28,-0.67
2018-07-23,17-42-12.006,Auto,Idle,TurnToMap,3.55,2.63,1.31,6.22,0.32,1.12,NC,NC,1,0.2,0,0,0,0,11.95,0.26,6.22,0,-0.18,-0.04,0.87,31.88,-0.55,-0.45,1,1,-0.36,-0.07,1.73,63.13,-1.28,-0.67
2018-07-23,17-42-12.024,Auto,Idle,TurnToMap,3.55,2.63,1.31,6.22,0.31,1.12,NC,NC,1,0.2,0,0,0,0,11.95,0.26,6.22,0.12,-0.18,-0.03,0.87,31.86,-0.53,-0.46,1,1,-0.54,-0.1,2.6,94.99,-1.81,-1.13
2018-07-23,17-42-12.055,Auto,Idle,TurnToMap,3.56,2.65,1.3,6.18,0.31,1.12,NC,NC,1,0.2,0,0,0,0,12.1,0.3,6.18,0,-0.18,-0.03,0.87,31.86,-0.53,-0.46,1,1,-0.54,-0.1,2.6,94.99,-1.81,-1.13
2018-07-23,17-42-12.070,Auto,Idle,TurnToMap,3.55,2.63,1.32,6.27,0.3,1.12,NC,NC,1,0.2,0,0,0,0,11.95,0.26,6.27,0,-0.18,-0.03,0.87,31.76,-0.51,-0.47,1,1,-0.72,-0.13,3.47,126.75,-2.32,-1.6
2018-07-23,17-42-12.078,Auto,Idle,TurnToMap,3.55,2.62,1.29,6.13,0.3,1.12,NC,NC,1,0.2,0,0,0,0,11.95,0.24,6.13,0.12,-0.18,-0.03,0.87,31.76,-0.51,-0.47,1,1,-0.72,-0.13,3.47,126.75,-2.32,-1.6
2018-07-23,17-42-12.091,Auto,Idle,TurnToMap,3.56,2.64,1.31,6.22,0.3,1.12,NC,NC,1,0.2,0,0,0,0,12.1,0.28,6.22,0.12,-0.18,-0.03,0.87,31.76,-0.51,-0.47,1,1,-0.72,-0.13,3.47,126.75,-2.32,-1.6
2018-07-23,17-42-12.124,Auto,Idle,TurnToMap,3.55,2.61,1.31,6.22,0.3,1.12,NC,NC,1,0.2,0,0,0,0,11.95,0.22,6.22,0,-0.18,-0.03,0.87,31.84,-0.49,-0.47,1,1,-0.9,-0.16,4.34,158.59,-2.81,-2.07
2018-07-23,17-42-12.138,Auto,Idle,TurnToMap,3.55,2.64,1.3,6.18,0.3,1.12,NC,NC,1,0.2,0,0,0,0,11.95,0.28,6.18,0,-0.18,-0.03,0.87,31.84,-0.49,-0.47,1,1,-0.9,-0.16,4.34,158.59,-2.81,-2.07
2018-07-23,17-42-12.155,Auto,Idle,TurnToMap,3.55,2.63,1.31,6.22,0.29,1.12,NC,NC,1,0.2,0,0,0,0,11.95,0.26,6.22,0.12,-0.18,-0.03,0.87,31.88,-0.5,-0.46,1,1,-1.08,-0.19,5.21,190.47,-3.31,-2.53
