Date,Time,ControlMode,RobotStatus,RobotAutoControlStage,Battery1VoltsRaw,Battery1AmpsRaw,Battery2VoltsRaw,Battery2AmpsRaw,WaterLevel,TempatureRaw,CH6,CH7,LeftDriveSign,LeftDriveMag,LeftDriveEncoder,RightDriveSign,RightDriveMag,RightDriveEncoder,Battery1Volts,Battery1Amps,Battery2Volts,Battery2Amps,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,CollectionMotor1,CollectionMotor2,VelocityX,VelocityY,VelocityZ,RotationX,RotationY,RotationZ,Tempature_MPU,SideWall,FrontWall,Proximity,Positionx,Positiony,Positionz
2018-07-24,16-13-31.088,None,Idle,None,3.43,2.64,1.36,6.46,0,0,NC,NC,0,0,0,0,0,0,10.15,0.28,6.46,0.36,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,NC,null,null,null
2018-07-24,16-13-31.106,Auto,Idle,None,3.43,2.64,1.36,6.46,0,0,NC,NC,0,0,0,0,0,0,10.15,0.28,6.46,0.36,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,NC,null,null,null
2018-07-24,16-13-31.147,Auto,Idle,None,3.43,2.63,1.36,6.46,0.42,1.16,NC,NC,0,0,0,0,0,0,10.15,0.26,6.46,0.36,-0.18,0,0.83,25.98,-1.52,1.3,1,1,-0.18,0,0.83,25.98,-1.52,1.3,-0.28,0,0,NC,null,null,null
2018-07-24,16-13-31.157,Auto,Idle,None,3.43,2.64,1.37,6.51,0.34,1.16,NC,NC,0,0,0,0,0,0,10.15,0.28,6.51,0.36,-0.18,0,0.83,25.98,-1.52,1.3,1,1,-0.18,0,0.83,25.98,-1.52,1.3,-0.28,0,0,NC,null,null,null
2018-07-24,16-13-31.176,Auto,Idle,None,3.43,2.65,1.36,6.46,0.34,1.16,NC,NC,0,0,0,0,0,0,10.15,0.3,6.46,0.24,-0.18,0,0.83,25.98,-1.52,1.3,1,1,-0.18,0,0.83,25.98,-1.52,1.3,-0.28,0,0,NC,null,null,null
2018-07-24,16-13-31.188,Auto,Idle,None,3.42,2.64,1.36,6.46,0.34,1.16,NC,NC,0,0,0,0,0,0,10,0.28,6.46,0.24,-0.18,0,0.83,25.98,-1.52,1.3,1,1,-0.18,0,0.83,25.98,-1.52,1.3,-0.28,0,0,NC,null,null,null
2018-07-24,16-13-31.222,Auto,Idle,None,3.43,2.62,1.36,6.46,0.33,1.16,NC,NC,0,0,0,0,0,0,10.15,0.24,6.46,0.36,-0.19,0,0.86,31.16,-0.54,-0.22,1,1,-0.37,0,1.69,57.14,-2.06,1.08,-0.28,0,0,NC,null,null,null
2018-07-24,16-13-31.237,Auto,Idle,None,3.43,2.63,1.36,6.46,0.33,1.16,NC,NC,0,0,0,0,0,0,10.15,0.26,6.46,0.36,-0.19,0,0.86,31.16,-0.54,-0.22,1,1,-0.37,0,1.69,57.14,-2.06,1.08,-0.28,0,0,NC,null,null,null
2018-07-24,16-13-31.251,Auto,Idle,None,3.44,2.64,1.37,6.51,0.32,1.17,NC,NC,0,0,0,0,0,0,10.3,0.28,6.51,0.24,-0.19,0.01,0.87,31.85,-0.44,-0.47,1,1,-0.56,0.01,2.56,88.99,-2.5,0.6099999,-0.28,0,0,NC,null,null,null
2018-07-24,16-13-31.276,Auto,Idle,None,3.43,2.64,1.37,6.51,0.32,1.16,NC,NC,0,0,0,0,0,0,10.15,0.28,6.51,0.24,-0.19,0.01,0.87,31.85,-0.44,-0.47,1,1,-0.56,0.01,2.56,88.99,-2.5,0.6099999,-0.28,0,0,NC,null,null,null
2018-07-24,16-13-31.329,Auto,Idle,None,3.43,2.64,1.36,6.46,0.31,1.16,NC,NC,0,0,0,0,0,0,10.15,0.28,6.46,0.36,-0.19,0.01,0.87,32.03,-0.4,-0.47,1,1,-0.75,0.02,3.43,121.02,-2.9,0.1399999,-0.28,0,0,NC,null,null,null
2018-07-24,16-13-31.332,Auto,Idle,None,3.43,2.64,1.36,6.46,0.32,1.16,NC,NC,0,0,0,0,0,0,10.15,0.28,6.46,0.36,-0.19,0.01,0.87,32.03,-0.4,-0.47,1,1,-0.75,0.02,3.43,121.02,-2.9,0.1399999,-0.28,0,0,NC,null,null,null
2018-07-24,16-13-31.336,Auto,Idle,None,3.45,2.64,1.36,6.46,0.32,1.16,NC,NC,0,0,0,0,0,0,10.45,0.26,6.46,0.36,-0.19,0.01,0.87,32.03,-0.4,-0.47,1,1,-0.75,0.02,3.43,121.02,-2.9,0.1399999,-0.28,0,0,NC,null,null,null
2018-07-24,16-13-31.351,Auto,Idle,None,3.45,2.63,1.36,6.46,0.3,1.16,NC,NC,0,0,0,0,0,0,10.45,0.26,6.46,0.36,-0.19,0.01,0.87,32.1,-0.39,-0.51,1,1,-0.94,0.03,4.3,153.12,-3.29,-0.3700001,-0.28,0,0,NC,null,null,null
2018-07-24,16-13-31.402,Auto,Idle,None,3.44,2.64,1.36,6.46,0.32,1.16,NC,NC,0,0,0,0,0,0,10.3,0.28,6.46,0.36,-0.19,0.01,0.87,32.13,-0.38,-0.48,1,1,-1.13,0.04,5.17,185.25,-3.67,-0.8500001,-0.28,0,0,NC,null,null,null
2018-07-24,16-13-31.407,Auto,Idle,None,3.44,2.66,1.36,6.46,0.31,1.16,NC,NC,0,0,0,0,0,0,10.3,0.32,6.46,0.36,-0.19,0.01,0.87,32.13,-0.38,-0.48,1,1,-1.13,0.04,5.17,185.25,-3.67,-0.8500001,-0.28,0,0,NC,null,null,null
2018-07-24,16-13-31.410,Auto,Idle,None,3.47,2.64,1.36,6.46,0.32,1.16,NC,NC,0,0,0,0,0,0,10.75,0.28,6.46,0.36,-0.19,0.01,0.87,32.13,-0.38,-0.48,1,1,-1.13,0.04,5.17,185.25,-3.67,-0.8500001,-0.28,0,0,NC,null,null,null
2018-07-24,16-13-31.438,Auto,Idle,None,3.43,2.65,1.36,6.46,0.32,1.16,NC,NC,0,0,0,0,0,0,10.15,0.3,6.46,0.24,-0.19,0.01,0.87,32.14,-0.39,-0.5,1,1,-1.32,0.05,6.039999,217.39,-4.06,-1.35,-0.28,0,0,NC,null,null,null
2018-07-24,16-13-31.457,Auto,Idle,None,3.44,2.63,1.36,6.46,0.32,1.16,NC,NC,0,0,0,0,0,0,10.3,0.26,6.46,0.36,-0.19,0.01,0.87,32.14,-0.39,-0.5,1,1,-1.32,0.05,6.039999,217.39,-4.06,-1.35,-0.28,0,0,NC,null,null,null
